	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.825	0.8361	0.8515	0.8409	0.7347	0.8176
2	0.8437	0.8342	0.8572	0.8472	0.7506	0.8266
3	0.8395	0.8259	0.8434	0.8285	0.7425	0.816
4	0.848	0.8296	0.8531	0.8424	0.7403	0.8227
5	0.8375	0.8579	0.874	0.8311	0.7485	0.8298
6	0.8287	0.8354	0.8449	0.8136	0.7125	0.807
7	0.8352	0.8159	0.8473	0.8289	0.6992	0.8053
8	0.8487	0.8265	0.8507	0.8373	0.7217	0.817
9	0.8535	0.8568	0.8636	0.8473	0.756	0.8354
10	0.8338	0.8353	0.8561	0.8502	0.7382	0.8227
SD	0.0092	0.0131	0.0092	0.0113	0.018	0.0122
Average	0.8394	0.8354	0.8542	0.8367	0.7344	0.82

