	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.7033	0.7536	0.7791	0.78	0.7276	0.7487
2	0.7064	0.7719	0.8056	0.7821	0.7038	0.754
3	0.6757	0.7638	0.7857	0.7519	0.7053	0.7365
4	0.6966	0.7586	0.7616	0.7572	0.6816	0.7311
5	0.6971	0.7845	0.7873	0.7678	0.7298	0.7533
6	0.7045	0.7733	0.8003	0.7804	0.7097	0.7536
7	0.705	0.7368	0.7359	0.753	0.6754	0.7212
8	0.6898	0.7463	0.781	0.7632	0.7095	0.738
9	0.7133	0.7829	0.7627	0.7847	0.7056	0.7498
10	0.6837	0.7704	0.7716	0.7694	0.721	0.7432
SD	0.0115	0.0155	0.0203	0.0124	0.0177	0.0155
Average	0.6975	0.7642	0.7771	0.769	0.7069	0.7429

