	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8361	0.837	0.8543	0.8488	0.7358	0.8224
2	0.8525	0.8321	0.8646	0.8551	0.7585	0.8326
3	0.8471	0.8305	0.8473	0.834	0.7484	0.8215
4	0.8529	0.8375	0.8576	0.847	0.7492	0.8288
5	0.842	0.8623	0.8695	0.8333	0.7566	0.8327
6	0.8338	0.8364	0.8482	0.8177	0.7349	0.8142
7	0.842	0.8207	0.8497	0.8385	0.7203	0.8142
8	0.8498	0.8292	0.8563	0.8405	0.7292	0.821
9	0.8582	0.8603	0.8668	0.8505	0.7579	0.8387
10	0.8444	0.8447	0.8582	0.8545	0.7425	0.8289
SD	0.0077	0.0133	0.0078	0.0116	0.0131	0.0107
Average	0.8459	0.8391	0.8573	0.842	0.7433	0.8255

