	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8019	0.7954	0.7743	0.8047	0.7005	0.7754
2	0.8189	0.7878	0.7869	0.795	0.7264	0.783
3	0.8076	0.787	0.7656	0.7766	0.715	0.7703
4	0.8115	0.7949	0.7719	0.7964	0.7121	0.7774
5	0.8098	0.8125	0.7785	0.7831	0.7196	0.7807
6	0.8018	0.7991	0.7728	0.7765	0.7048	0.771
7	0.8082	0.7777	0.7731	0.789	0.6865	0.7669
8	0.8135	0.7861	0.7763	0.7846	0.7037	0.7729
9	0.8265	0.8175	0.7929	0.7961	0.7247	0.7915
10	0.8103	0.7944	0.7662	0.7933	0.7095	0.7747
SD	0.0075	0.0121	0.0085	0.0092	0.0121	0.0099
Average	0.811	0.7952	0.7758	0.7895	0.7103	0.7764

