	Joy	Anger	Sadness	Fear	Disgust
aardvark	     2.588	     1.249	     1.321	     1.256	     1.209
abalone	     1.702	     1.303	     1.315	     1.324	     1.309
abandon	     1.185	     2.182	     2.613	     2.268	     2.159
abandonment	     1.137	     2.598	     3.179	     2.824	     2.346
abbey	     2.207	     1.282	     1.337	     1.283	     1.291
abdomen	     1.959	     1.252	     1.250	     1.266	     1.202
abdominal	     1.528	     1.388	     1.356	     1.329	     1.449
abduct	     1.154	     2.807	     3.289	     3.166	     2.444
abduction	     1.125	     2.696	     3.361	     2.828	     2.446
abide	     2.011	     1.275	     1.308	     1.256	     1.251
abiding	     2.380	     1.308	     1.312	     1.351	     1.383
ability	     3.536	     1.319	     1.317	     1.395	     1.196
abject	     1.467	     1.776	     1.864	     1.863	     1.929
ablaze	     1.738	     2.177	     1.934	     2.880	     1.721
able	     3.420	     1.202	     1.275	     1.268	     1.210
abnormal	     1.290	     2.440	     2.134	     2.023	     2.483
abnormality	     1.194	     2.425	     2.494	     2.432	     2.534
abode	     1.730	     1.281	     1.294	     1.279	     1.302
abolish	     1.420	     1.982	     1.796	     1.905	     2.149
abominable	     1.347	     2.384	     2.001	     2.439	     2.138
abomination	     1.130	     2.867	     2.923	     2.805	     2.323
abort	     1.178	     3.012	     2.747	     2.934	     2.296
abortion	     1.184	     2.785	     2.385	     2.306	     2.819
abracadabra	     1.830	     1.776	     1.600	     2.080	     1.630
abrasive	     1.404	     2.578	     2.038	     2.849	     2.046
abreast	     1.617	     1.642	     1.496	     1.817	     1.561
abrupt	     1.223	     2.689	     2.382	     2.716	     2.250
abscess	     1.163	     2.194	     2.423	     2.133	     2.433
absence	     1.486	     2.018	     1.935	     1.974	     1.911
absent	     1.541	     1.687	     1.923	     1.799	     1.741
absinthe	     1.329	     1.973	     2.219	     1.975	     2.006
absolute	     2.016	     1.266	     1.307	     1.284	     1.344
absolution	     3.424	     1.210	     1.295	     1.240	     1.211
absolve	     1.576	     1.435	     1.456	     1.413	     1.508
absorb	     2.152	     1.363	     1.345	     1.424	     1.423
