	Valence	Arousal	Dominance
abart	     3.992	     5.237	     4.992
abbau	     2.919	     6.232	     4.514
abbild	     5.452	     3.880	     5.514
abbruch	     2.845	     6.095	     4.718
abdruck	     5.335	     3.923	     5.703
abend	     7.190	     4.122	     5.170
abendrot	     7.523	     4.188	     5.628
abfahrt	     5.847	     3.719	     5.452
abfall	     3.967	     5.303	     5.224
abflug	     5.550	     4.102	     5.283
abfuhr	     2.756	     6.208	     4.802
abgang	     5.208	     4.012	     5.430
abgas	     2.947	     6.165	     4.601
abgrund	     3.444	     6.430	     4.264
abhang	     3.937	     6.078	     4.312
abhilfe	     5.811	     3.804	     5.382
abitur	     7.242	     4.650	     5.523
abkehr	     3.795	     5.147	     5.058
ablauf	     5.168	     3.960	     5.734
ableger	     5.469	     3.673	     5.653
abort	     3.183	     5.952	     4.673
abreise	     6.102	     3.849	     5.285
absage	     2.627	     6.407	     4.780
absatz	     5.413	     3.928	     5.467
abscheu	     3.263	     5.920	     4.920
abschied	     2.627	     6.432	     4.210
absender	     5.335	     3.923	     5.703
absicht	     5.364	     4.203	     5.488
abstand	     5.235	     4.005	     5.492
abstieg	     3.057	     6.240	     4.496
absturz	     2.544	     6.988	     4.094
abtei	     5.435	     3.832	     5.438
abteil	     5.357	     3.833	     5.719
abwasser	     3.724	     5.290	     5.098
abweg	     3.143	     6.008	     4.649
abwehr	     4.163	     5.105	     5.018
abwurf	     4.941	     4.410	     5.426
abzug	     2.872	     6.100	     4.608
achse	     5.181	     4.048	     5.666
achsel	     4.565	     4.850	     5.332
achtung	     5.417	     4.095	     5.684
adel	     5.511	     4.655	     5.283
adjutant	     5.335	     3.923	     5.703
adler	     7.257	     4.548	     5.289
adoption	     5.421	     3.725	     5.440
adressat	     5.335	     3.923	     5.703
adria	     7.265	     4.526	     5.833
advent	     7.793	     4.480	     5.907
affe	     7.155	     4.562	     5.367
affekt	     4.366	     4.855	     5.186
agent	     5.322	     4.242	     5.130
ahnung	     6.134	     4.257	     5.193
ahorn	     6.451	     3.897	     5.464
akademie	     6.239	     4.014	     5.417
akribie	     5.376	     4.193	     5.623
aktie	     4.254	     5.615	     5.166
aktion	     5.771	     4.002	     5.424
akzent	     5.468	     3.940	     5.541
