	Joy	Anger	Sadness	Fear	Disgust
aborcja	     1.195	     3.294	     3.195	     3.458	     2.991
absolwent	     3.377	     1.429	     1.443	     1.636	     1.258
absurd	     1.641	     2.306	     2.049	     2.469	     1.953
adres	     1.896	     1.400	     1.341	     1.516	     1.325
aerozol	     1.955	     1.499	     1.461	     1.711	     1.468
afront	     1.519	     2.194	     1.856	     1.978	     2.224
agencja	     1.877	     1.757	     1.669	     2.068	     1.729
agonia	     1.126	     2.660	     3.174	     3.355	     2.976
agresja	     1.237	     3.406	     2.975	     3.608	     3.008
agresywność	     1.297	     3.159	     2.601	     3.376	     2.603
agresywny	     1.246	     3.341	     2.751	     3.360	     2.816
AIDS	     1.155	     2.727	     3.372	     3.521	     2.823
akademik	     2.530	     1.576	     1.576	     1.682	     1.526
akcent	     2.548	     1.432	     1.424	     1.579	     1.289
akceptacja	     3.859	     1.370	     1.389	     1.523	     1.181
aksamit	     3.467	     1.212	     1.373	     1.333	     1.203
akt	     2.122	     1.678	     1.620	     2.030	     1.493
aktualności	     2.314	     1.523	     1.428	     1.731	     1.295
aktywność	     3.605	     1.379	     1.364	     1.637	     1.209
aktywny	     3.497	     1.478	     1.456	     1.777	     1.280
aktywować	     3.263	     1.483	     1.413	     1.822	     1.281
akwaforta	     2.491	     1.483	     1.508	     1.594	     1.463
akwarium	     2.744	     1.282	     1.304	     1.260	     1.311
alarm	     1.606	     2.292	     1.949	     2.525	     2.103
Albania	     2.238	     1.477	     1.462	     1.591	     1.512
album	     2.685	     1.311	     1.333	     1.299	     1.233
aleja	     2.852	     1.366	     1.509	     1.480	     1.246
alergia	     1.329	     2.443	     2.529	     2.446	     2.161
alimenty	     1.513	     2.431	     2.057	     2.185	     2.349
alkoholik	     1.142	     2.739	     3.292	     3.362	     2.926
alkoholizm	     1.163	     2.741	     3.334	     3.421	     2.881
altruizm	     3.413	     1.336	     1.495	     1.482	     1.222
ambicja	     3.690	     1.520	     1.482	     1.731	     1.249
ambitny	     3.827	     1.469	     1.488	     1.704	     1.222
ambulans	     1.593	     2.402	     2.134	     2.650	     2.039
anchois	     1.902	     1.633	     1.549	     1.749	     1.666
anemiczny	     1.281	     2.287	     2.842	     2.474	     1.853
Anglia	     2.968	     1.251	     1.391	     1.464	     1.192
animusz	     2.898	     1.496	     1.450	     1.836	     1.286
anioł	     3.635	     1.306	     1.352	     1.518	     1.161
antyczny	     2.766	     1.303	     1.335	     1.566	     1.221
antylopa	     2.404	     1.436	     1.433	     1.573	     1.404
antypatia	     1.508	     2.146	     1.997	     2.189	     2.505
anulować	     1.503	     2.136	     1.887	     2.305	     2.035
anyż	     2.171	     1.515	     1.489	     1.687	     1.533
apartament	     3.528	     1.400	     1.402	     1.622	     1.227
apatia	     1.302	     2.162	     2.639	     2.304	     1.918
apatyczny	     1.300	     2.279	     2.731	     2.413	     1.848
apodyktyczny	     1.428	     2.607	     2.260	     3.104	     2.541
areszt	     1.222	     2.533	     2.942	     2.873	     2.482
arka	     2.729	     1.304	     1.376	     1.545	     1.247
arkusz	     2.032	     1.556	     1.516	     1.714	     1.494
armata	     1.813	     2.207	     1.764	     2.414	     1.791
arogancki	     1.343	     2.978	     2.457	     3.049	     2.595
artystyczny	     3.548	     1.395	     1.456	     1.521	     1.227
as	     3.304	     1.472	     1.493	     1.764	     1.259
asertywny	     3.438	     1.372	     1.410	     1.635	     1.185
aspekt	     2.049	     1.391	     1.352	     1.424	     1.287
aspołeczny	     1.261	     2.332	     2.617	     2.395	     2.226
astma	     1.193	     2.347	     2.728	     2.416	     2.107
astronauta	     2.887	     1.460	     1.411	     1.648	     1.277
atak	     1.469	     2.787	     2.358	     3.217	     2.319
atakować	     1.479	     2.799	     2.384	     3.240	     2.361
atakowanie	     1.462	     2.829	     2.402	     3.259	     2.372
atlas	     2.776	     1.284	     1.433	     1.533	     1.242
atletyka	     2.828	     1.410	     1.488	     1.606	     1.238
atmosfera	     2.832	     1.561	     1.545	     1.665	     1.307
atrakcyjny	     3.908	     1.449	     1.460	     1.620	     1.237
atrament	     1.905	     1.397	     1.325	     1.520	     1.318
atut	     3.535	     1.359	     1.418	     1.653	     1.199
audytorium	     2.306	     1.661	     1.519	     1.861	     1.404
aura	     2.938	     1.295	     1.483	     1.471	     1.239
Austria	     2.742	     1.380	     1.505	     1.508	     1.273
autobus	     1.788	     1.375	     1.345	     1.496	     1.340
autonomia	     2.756	     1.437	     1.417	     1.577	     1.273
autonomiczny	     2.864	     1.496	     1.390	     1.784	     1.279
autorytatywny	     2.055	     1.968	     1.678	     2.230	     1.632
