	Joy	Anger	Sadness	Fear	Disgust
maus-tratos	     1.092	     3.748	     3.398	     3.586	     3.008
acidente	     1.165	     2.804	     2.639	     3.347	     2.014
realização	     3.535	     1.232	     1.273	     1.382	     1.231
activar	     2.645	     1.370	     1.367	     1.502	     1.398
admirado	     2.871	     1.278	     1.362	     1.425	     1.371
adorável	     3.858	     1.138	     1.231	     1.200	     1.179
afecto	     4.003	     1.152	     1.272	     1.181	     1.099
receoso	     1.237	     2.484	     2.311	     2.732	     1.964
agressivo	     1.220	     3.247	     2.749	     3.300	     2.116
agonia	     1.080	     3.051	     3.106	     3.370	     2.941
alerta	     2.002	     2.106	     1.819	     2.334	     1.714
sozinho	     1.214	     2.151	     2.221	     1.962	     2.547
distante	     1.211	     2.069	     2.145	     1.930	     2.276
ambição	     2.957	     1.338	     1.300	     1.473	     1.219
ambulância	     1.282	     2.473	     2.154	     2.824	     1.956
anjo	     3.299	     1.190	     1.311	     1.251	     1.156
ira	     1.315	     2.898	     2.366	     3.184	     2.096
irritado	     1.311	     2.860	     2.441	     3.224	     2.113
angustiado	     1.149	     2.822	     2.288	     2.080	     2.577
aborrecer	     1.145	     2.120	     2.295	     2.179	     2.923
ansioso	     1.501	     2.479	     2.105	     2.959	     1.867
agilidade	     3.129	     1.267	     1.265	     1.328	     1.223
exército	     1.560	     1.942	     1.993	     2.068	     1.976
excitado	     3.431	     1.362	     1.445	     1.528	     1.217
arrogante	     1.198	     3.101	     2.371	     2.844	     2.433
assassinar	     1.087	     3.149	     2.840	     3.536	     2.279
agressão	     1.106	     3.660	     3.099	     3.489	     2.612
espantado	     2.408	     1.383	     1.482	     1.953	     1.366
outono	     1.859	     1.291	     1.277	     1.327	     1.231
maravilhado	     4.102	     1.196	     1.295	     1.229	     1.131
bebé	     4.015	     1.217	     1.252	     1.216	     1.149
falência	     1.160	     2.808	     2.810	     2.655	     2.171
bastardo	     1.405	     1.714	     1.760	     1.718	     1.916
praia	     3.813	     1.150	     1.258	     1.207	     1.180
beleza	     3.670	     1.154	     1.287	     1.264	     1.152
mendigo	     1.124	     2.949	     2.381	     2.087	     2.631
trair	     1.083	     3.392	     3.111	     3.462	     2.548
pássaro	     2.894	     1.250	     1.352	     1.305	     1.268
aniversário	     3.967	     1.290	     1.415	     1.490	     1.241
chantagem	     1.182	     3.111	     2.757	     2.892	     2.246
apático	     1.232	     2.310	     2.073	     1.931	     2.558
abençoar	     2.500	     1.294	     1.318	     1.323	     1.342
cego	     1.104	     3.111	     2.497	     2.153	     2.831
florescer	     3.658	     1.151	     1.242	     1.223	     1.133
atrevido	     3.125	     1.337	     1.374	     1.648	     1.241
bomba	     1.235	     3.105	     2.604	     3.214	     2.208
livro	     3.257	     1.144	     1.259	     1.257	     1.152
aborrecido	     1.179	     1.867	     2.192	     2.038	     2.596
tigela	     1.663	     1.313	     1.299	     1.322	     1.292
rapaz	     2.958	     1.330	     1.372	     1.456	     1.225
seio	     2.950	     1.350	     1.411	     1.448	     1.250
irmão	     3.557	     1.238	     1.412	     1.339	     1.192
brutal	     2.066	     1.923	     1.731	     2.088	     1.578
coelhinho	     3.080	     1.217	     1.292	     1.247	     1.227
sobrecarregado	     1.268	     2.828	     2.375	     3.189	     2.138
enterro	     1.161	     2.778	     2.868	     2.958	     2.055
manteiga	     2.090	     1.299	     1.323	     1.313	     1.362
borboleta	     3.629	     1.172	     1.263	     1.236	     1.122
bolo	     3.932	     1.160	     1.260	     1.240	     1.113
cancro	     1.086	     3.735	     3.367	     3.461	     2.886
rebuçado	     3.516	     1.216	     1.397	     1.323	     1.195
capaz	     3.419	     1.196	     1.376	     1.335	     1.173
despreocupado	     3.325	     1.159	     1.302	     1.230	     1.121
carícia	     3.979	     1.170	     1.309	     1.221	     1.103
cemitério	     1.106	     2.820	     2.696	     2.288	     2.812
cadeira	     1.907	     1.366	     1.389	     1.345	     1.279
vencedor	     4.207	     1.238	     1.319	     1.568	     1.140
encanto	     3.817	     1.200	     1.216	     1.283	     1.110
ânimo	     3.707	     1.307	     1.377	     1.378	     1.235
criança	     4.037	     1.249	     1.272	     1.276	     1.158
igreja	     1.598	     1.551	     1.648	     1.513	     1.585
circo	     2.662	     1.358	     1.436	     1.776	     1.335
cidade	     2.372	     1.323	     1.441	     1.406	     1.351
roupa	     2.840	     1.287	     1.296	     1.380	     1.248
barata	     1.455	     2.411	     1.894	     2.278	     2.090
caixão	     1.084	     2.914	     2.474	     2.119	     3.149
comédia	     4.130	     1.215	     1.299	     1.322	     1.152
concentrado	     2.758	     1.279	     1.292	     1.387	     1.262
confiante	     3.658	     1.188	     1.221	     1.239	     1.196
confuso	     1.344	     2.208	     2.178	     2.868	     2.143
consolado	     2.786	     1.188	     1.286	     1.228	     1.209
desprezo	     1.106	     3.149	     2.546	     2.300	     2.704
conteúdo	     2.048	     1.281	     1.282	     1.316	     1.221
contexto	     1.909	     1.283	     1.332	     1.290	     1.238
controlador	     1.372	     1.901	     1.607	     1.640	     1.828
cadáver	     1.136	     2.897	     2.681	     2.840	     2.372
cabana	     2.557	     1.273	     1.394	     1.308	     1.218
acolhedor	     3.790	     1.131	     1.254	     1.207	     1.081
colisão	     1.197	     2.904	     2.413	     2.987	     2.137
