	Valence	Arousal	Dominance
abandonado	     1.629	     5.926	     2.941
abanico	     6.355	     4.780	     5.357
abeja	     3.187	     6.462	     3.581
abejas	     3.052	     6.473	     3.522
abejorro	     3.184	     6.283	     3.647
abnegación	     3.913	     4.719	     4.454
abogada	     4.208	     5.353	     4.558
abogado	     4.862	     5.022	     5.061
aborto	     2.413	     5.514	     3.628
abrasador	     3.977	     5.156	     4.533
abrigo	     6.072	     4.732	     5.318
abrumado	     2.780	     5.906	     3.598
abstinente	     3.951	     4.779	     4.676
absurdo	     4.118	     4.879	     4.775
abuela	     7.735	     5.924	     5.613
abuelo	     7.692	     5.722	     5.773
abundancia	     7.111	     6.009	     5.529
aburrido	     3.237	     4.336	     4.187
accidente	     1.664	     6.396	     2.892
acción	     5.888	     5.751	     5.072
acelerador	     5.219	     5.234	     5.017
acento	     6.055	     5.602	     5.294
acidez	     3.273	     5.006	     4.487
ácido	     3.083	     5.424	     3.794
acierto	     7.606	     5.618	     5.932
acogedor	     7.614	     5.620	     5.806
acontecimiento	     5.903	     5.132	     4.932
acoso	     1.631	     6.958	     3.109
acre	     4.555	     4.359	     5.135
activar	     6.016	     5.401	     5.302
acto	     5.539	     4.711	     5.302
actriz	     6.045	     5.124	     5.454
acuerdo	     6.993	     5.063	     5.848
acurrucarse	     7.418	     5.701	     5.423
ademán	     4.154	     5.171	     4.653
adicción	     2.066	     6.256	     3.510
adicto	     2.161	     5.724	     3.532
adinerado	     5.934	     5.702	     5.224
adiós	     1.701	     5.684	     2.992
admiración	     7.182	     5.852	     5.704
admirado	     7.099	     5.868	     5.661
adolescente	     6.064	     5.379	     5.208
adopción	     6.967	     5.656	     5.521
adorable	     7.988	     5.906	     6.056
adoración	     6.156	     5.449	     5.263
adulto	     5.268	     5.353	     4.724
adversario	     3.710	     6.174	     4.196
aeropuerto	     6.603	     5.209	     5.184
afectar	     3.352	     4.904	     3.892
afecto	     7.794	     6.303	     5.908
afianzar	     5.269	     4.608	     5.202
afligido	     2.094	     4.738	     3.530
afortunado	     7.609	     5.818	     5.831
agente	     4.129	     5.109	     4.678
agilidad	     6.784	     4.699	     5.647
agobiado	     2.382	     5.821	     3.768
agonía	     2.012	     5.695	     3.388
agradecido	     7.902	     5.467	     6.058
agresión	     1.622	     6.925	     3.096
agresividad	     1.734	     6.814	     3.331
agresivo	     2.099	     6.687	     3.491
agricultor	     5.698	     4.599	     5.147
aguanieve	     5.752	     4.554	     5.233
aguardiente	     4.871	     4.775	     5.009
agudo	     4.561	     4.912	     4.869
águila	     5.463	     5.489	     4.827
aguja	     3.903	     5.012	     4.484
ahogarse	     1.966	     6.492	     2.860
ahorrar	     6.093	     4.994	     5.248
aire	     6.646	     4.870	     5.502
aislamiento	     1.876	     6.144	     3.031
ajedrez	     5.543	     4.634	     5.133
alambrada	     3.499	     4.926	     4.389
alambre	     4.148	     4.568	     4.810
alba	     6.782	     4.628	     5.424
albañil	     5.060	     4.366	     5.039
albergue	     5.745	     5.431	     5.169
alcaldesa	     3.611	     4.938	     4.658
alce	     5.766	     5.421	     4.779
alcohólico	     2.172	     5.619	     3.543
alegre	     8.054	     6.257	     5.919
alergia	     5.087	     5.448	     5.061
alerta	     3.467	     5.997	     3.687
alfiler	     4.081	     5.594	     4.018
alfombra	     4.285	     4.546	     4.917
alianza	     6.329	     5.463	     5.041
alicates	     4.570	     4.645	     4.959
aliento	     3.671	     5.054	     4.484
alivio	     7.328	     5.678	     5.736
alma	     6.182	     5.244	     4.996
almeja	     5.103	     4.371	     5.336
almohada	     6.667	     4.679	     5.565
