	Valence	Arousal	Dominance	Avg_VAD	Joy	Anger	Sadness	Fear	Disgust	Avg_BE5
en2es	0.966	0.737	0.811	0.838	0.948	0.791	0.806	0.826	0.694	0.813
en2pl	0.938	0.655	0.653	0.749	0.924	0.816	0.8	0.751	0.795	0.817
en2de	0.94	0.615	0.583	0.713	0.915	0.789	0.678	0.849	0.584	0.763
es2en	0.963	0.714	0.794	0.824	0.948	0.83	0.853	0.835	0.78	0.849
es2pl	0.934	0.663	0.552	0.717	0.918	0.755	0.762	0.653	0.768	0.771
es2de	0.953	0.618	0.645	0.739	0.904	0.789	0.692	0.84	0.579	0.761
pl2en	0.962	0.598	0.776	0.778	0.955	0.845	0.836	0.832	0.765	0.847
pl2es	0.961	0.634	0.701	0.765	0.941	0.744	0.763	0.766	0.665	0.776
pl2de	0.934	0.691	0.358	0.661	0.907	0.768	0.655	0.788	0.529	0.73
de2en	0.952	0.445	0.762	0.72	0.952	0.861	0.836	0.855	0.746	0.85
de2es	0.959	0.498	0.842	0.767	0.942	0.794	0.785	0.839	0.64	0.8
de2pl	0.92	0.674	0.497	0.697	0.914	0.815	0.759	0.7	0.739	0.785

