	Joy	Anger	Sadness	Fear	Disgust
aaien	     1.819	     1.486	     1.703	     1.564	     1.380
aal	     1.237	     2.037	     2.534	     2.087	     1.747
aalmoes	     1.230	     1.904	     2.672	     1.988	     1.767
aandachtig	     2.126	     1.300	     1.291	     1.491	     1.236
aangenaam	     2.584	     1.293	     1.413	     1.311	     1.183
aanslag	     1.087	     2.940	     2.330	     2.327	     3.173
aanstoot	     1.246	     2.115	     2.070	     2.004	     2.697
aanstotelijk	     1.224	     2.097	     2.076	     1.998	     2.799
aantrekkelijk	     2.890	     1.305	     1.348	     1.396	     1.337
aanval	     1.139	     2.942	     2.132	     2.213	     2.680
aanvallen	     1.130	     3.319	     2.332	     2.517	     2.511
aanvallend	     1.132	     3.105	     2.199	     2.298	     2.687
aanwinst	     2.305	     1.307	     1.465	     1.423	     1.313
aanzien	     1.729	     1.377	     1.394	     1.401	     1.274
aanzienlijk	     1.532	     1.365	     1.312	     1.418	     1.277
aap	     1.675	     1.695	     1.834	     2.091	     1.866
aard	     1.564	     1.595	     1.861	     1.563	     1.524
aardbei	     1.916	     1.356	     1.463	     1.469	     1.329
aardbeving	     1.090	     2.942	     2.271	     2.304	     3.187
aarde	     1.674	     1.439	     1.475	     1.436	     1.443
aars	     1.188	     1.987	     2.546	     1.927	     2.177
aas	     1.314	     2.000	     2.565	     2.089	     1.669
absurd	     1.177	     1.913	     1.976	     1.784	     2.338
abt	     1.432	     1.753	     2.292	     1.729	     1.596
accent	     1.563	     1.667	     1.901	     1.819	     1.575
achten	     1.521	     1.594	     1.688	     1.696	     1.749
acne	     1.108	     1.998	     2.985	     2.193	     2.248
act	     1.509	     1.835	     1.946	     2.206	     2.025
actief	     2.407	     1.723	     1.440	     1.856	     1.435
acuut	     1.242	     2.325	     2.006	     1.934	     2.687
adder	     1.207	     2.014	     2.131	     1.932	     2.363
adel	     1.526	     1.407	     1.550	     1.402	     1.447
adelaar	     1.685	     1.491	     1.588	     1.687	     1.418
adem	     1.683	     1.601	     1.525	     1.463	     1.460
ader	     1.404	     1.943	     1.986	     2.100	     1.971
adres	     1.571	     1.646	     1.933	     1.689	     1.552
advies	     1.882	     1.328	     1.377	     1.367	     1.247
advocaat	     1.387	     1.805	     1.733	     1.712	     1.783
afbreken	     1.184	     2.238	     2.156	     2.074	     2.947
afgunst	     1.105	     2.062	     3.001	     2.464	     2.447
