	Joy	Anger	Sadness	Fear	Disgust
abbaglio	     1.433	     2.155	     1.930	     2.666	     1.931
abbandonato	     1.115	     3.084	     3.028	     3.474	     2.265
abbondanza	     3.494	     1.294	     1.415	     1.425	     1.350
abbraccio	     4.001	     1.186	     1.262	     1.286	     1.160
abete	     2.814	     1.287	     1.369	     1.280	     1.232
abitante	     2.474	     1.268	     1.297	     1.446	     1.258
abitazione	     3.330	     1.312	     1.451	     1.353	     1.303
abito	     3.857	     1.257	     1.354	     1.341	     1.211
abitudini	     1.690	     1.477	     1.388	     1.690	     1.335
aborto	     1.180	     3.044	     2.687	     2.880	     2.229
abuso	     1.080	     3.145	     2.759	     2.421	     2.816
accettazione	     2.490	     1.345	     1.441	     1.698	     1.332
accogliente	     4.060	     1.303	     1.377	     1.358	     1.186
accomodante	     3.023	     1.314	     1.363	     1.488	     1.214
accordo	     3.276	     1.358	     1.467	     1.485	     1.264
acqua	     4.028	     1.230	     1.282	     1.233	     1.126
adorabile	     3.743	     1.258	     1.360	     1.332	     1.196
adulto	     2.642	     1.299	     1.383	     1.570	     1.305
aereo	     3.171	     1.342	     1.475	     1.542	     1.308
affamato	     1.905	     1.806	     1.734	     2.100	     1.534
affascinare	     4.217	     1.248	     1.374	     1.566	     1.188
affaticato	     1.331	     2.327	     2.049	     2.466	     1.982
affetto	     3.809	     1.320	     1.312	     1.504	     1.269
afflizione	     1.074	     3.063	     2.995	     3.323	     3.023
affogare	     1.067	     3.110	     3.076	     3.710	     2.212
aggressione	     1.161	     2.888	     2.565	     3.160	     1.924
aggressivo	     1.296	     3.044	     2.347	     2.936	     2.111
agile	     3.637	     1.336	     1.286	     1.573	     1.167
agilità	     4.178	     1.289	     1.407	     1.650	     1.209
agnello	     2.992	     1.317	     1.407	     1.518	     1.323
ago	     1.415	     2.249	     1.973	     2.440	     1.849
agonia	     1.041	     3.248	     3.482	     4.039	     2.661
alba	     3.971	     1.127	     1.268	     1.197	     1.114
albero	     2.846	     1.253	     1.452	     1.336	     1.250
alcolista	     1.134	     2.562	     2.818	     2.267	     2.599
alieno	     2.556	     1.405	     1.378	     1.588	     1.348
allegro	     4.192	     1.242	     1.308	     1.393	     1.183
allergia	     1.246	     2.492	     2.254	     2.589	     2.075
allerta	     2.279	     1.935	     1.553	     1.973	     1.573
amato	     4.355	     1.181	     1.282	     1.275	     1.131
ambizione	     4.266	     1.258	     1.248	     1.508	     1.163
ambulanza	     1.178	     2.723	     2.493	     2.719	     2.266
amichevole	     3.884	     1.176	     1.265	     1.284	     1.173
amico	     4.418	     1.176	     1.273	     1.312	     1.121
ammirato	     4.002	     1.308	     1.377	     1.523	     1.230
amore	     4.256	     1.239	     1.332	     1.476	     1.111
angelo	     3.468	     1.183	     1.290	     1.243	     1.152
angolo	     1.776	     1.501	     1.431	     1.664	     1.527
angosciato	     1.116	     2.871	     3.032	     2.696	     2.659
animale domestico	     3.793	     1.371	     1.430	     1.459	     1.283
annoiato	     1.153	     2.597	     2.803	     2.619	     2.642
ansioso	     1.117	     2.569	     2.806	     3.594	     1.841
apatico	     1.129	     2.551	     2.627	     2.266	     2.964
ape	     1.470	     2.452	     2.025	     2.698	     1.943
appendiabiti	     1.902	     1.474	     1.510	     1.527	     1.456
appetitoso	     4.187	     1.222	     1.285	     1.384	     1.165
applauso	     3.517	     1.428	     1.550	     1.522	     1.270
apprendere	     4.149	     1.239	     1.294	     1.415	     1.136
arcobaleno	     4.063	     1.266	     1.309	     1.277	     1.159
aria	     3.946	     1.209	     1.289	     1.282	     1.169
arma	     1.370	     2.563	     2.080	     2.760	     1.921
armadietto	     2.278	     1.292	     1.286	     1.317	     1.314
armadio	     2.735	     1.271	     1.361	     1.330	     1.327
arrabbiato	     1.113	     3.514	     2.628	     2.964	     2.660
arrogante	     1.103	     3.709	     2.597	     2.919	     2.603
arrugginito	     1.333	     1.361	     1.365	     1.550	     1.349
arte	     4.005	     1.270	     1.382	     1.305	     1.169
ascensore	     2.067	     1.350	     1.336	     1.591	     1.315
asciugacapelli	     3.156	     1.343	     1.366	     1.378	     1.284
asilo	     3.440	     1.279	     1.296	     1.365	     1.356
aspro	     1.507	     2.049	     1.997	     2.205	     2.073
assassino	     1.116	     3.336	     2.989	     2.933	     2.392
assediato	     1.311	     2.390	     2.003	     2.673	     2.019
assicurare	     3.150	     1.306	     1.295	     1.373	     1.218
asso	     3.086	     1.286	     1.268	     1.401	     1.226
assurdo	     1.791	     1.831	     1.846	     2.200	     1.546
astio	     1.250	     2.224	     2.007	     1.985	     2.850
astronauta	     2.797	     1.335	     1.317	     1.440	     1.235
atletica	     3.742	     1.305	     1.357	     1.548	     1.214
attico	     3.347	     1.273	     1.287	     1.334	     1.210
attivare	     3.404	     1.338	     1.386	     1.519	     1.218
attraente	     4.086	     1.242	     1.371	     1.279	     1.143
attrezzo	     2.027	     1.320	     1.364	     1.417	     1.425
audace	     3.472	     1.359	     1.420	     1.539	     1.213
aurora	     3.830	     1.227	     1.278	     1.359	     1.134
autobus	     1.781	     1.605	     1.574	     1.797	     1.619
automobile	     3.232	     1.327	     1.358	     1.468	     1.249
autostrada	     2.452	     1.642	     1.489	     1.787	     1.431
autunno	     2.722	     1.340	     1.488	     1.415	     1.272
avidità	     1.091	     3.032	     2.549	     2.461	     3.108
avventura	     4.403	     1.231	     1.309	     1.469	     1.137
avversità	     1.244	     3.012	     2.441	     3.031	     2.276
bacio	     4.520	     1.182	     1.352	     1.447	     1.096
baco	     1.588	     1.824	     1.860	     1.972	     1.810
bagno	     3.543	     1.155	     1.269	     1.205	     1.110
balcone	     3.080	     1.217	     1.292	     1.247	     1.227
ballerino	     2.397	     1.343	     1.323	     1.532	     1.260
bambino	     4.288	     1.222	     1.334	     1.423	     1.153
bambola	     2.858	     1.315	     1.381	     1.496	     1.201
bancarotta	     1.171	     1.879	     2.085	     1.701	     3.246
bandiera	     2.909	     1.278	     1.352	     1.407	     1.182
bar	     3.196	     1.286	     1.333	     1.402	     1.203
bara	     1.145	     2.892	     3.029	     3.213	     2.129
barca	     2.953	     1.272	     1.372	     1.474	     1.265
barile	     1.624	     1.402	     1.428	     1.632	     1.299
bastardo	     1.098	     3.010	     2.402	     2.500	     3.015
bastone	     1.541	     1.460	     1.351	     1.638	     1.314
beatitudine	     3.997	     1.211	     1.279	     1.300	     1.141
bebè	     4.224	     1.229	     1.316	     1.500	     1.130
bellezza	     4.349	     1.196	     1.321	     1.513	     1.137
bello	     4.302	     1.235	     1.320	     1.362	     1.154
benda	     1.435	     2.201	     2.055	     2.800	     2.031
benedire	     2.871	     1.294	     1.352	     1.457	     1.253
bestemmia	     1.116	     2.944	     2.545	     2.289	     2.555
bestia	     1.429	     2.547	     2.182	     3.035	     1.981
